0;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
26493;;Потом;ПОТОМ;ADV -;;;. _Потом_ оказалось , что;м;о;т;о;п;;ADV;ПОТОМ;ADV -;М
26494;;оказалось;ОКАЗАТЬСЯ;V pf praet sg indic n -;;;Потом _оказалось_ , что этот;ь;с;о;л;а;з;V;ОКАЗАТЬСЯ;V pf praet sg indic n -;Я
26495;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26496;;что;ЧТО;CONJ;;;Потом оказалось , _что_ этот автоответчик всё-таки;о;т;ч;;;;CONJ;ЧТО;CONJ;О
26497;;этот;ЭТОТ;APRO - nom sg plen m -;;;оказалось , что _этот_ автоответчик всё-таки даёт;т;о;т;э;;;APRO;ЭТОТ;A - nom sg plen m -;Т
26498;;автоответчик;АВТООТВЕТЧИК;S m inan nom sg;;;, что этот _автоответчик_ всё-таки даёт какие-то;к;и;ч;т;е;в;S;АВТООТВЕТЧИК;S m inan nom sg;К
26499;;всё-таки;ВСЕ-ТАКИ;PART;;;что этот автоответчик _всё-таки_ даёт какие-то подсказки;и;к;а;т;-;ё;PART;ВСЕ-ТАКИ;PART;И
26500;;даёт;ДАВАТЬ;V ipf praes sg indic - 3p;;;этот автоответчик всё-таки _даёт_ какие-то подсказки ,;т;ё;а;д;;;V;ДАВАТЬ;V ipf praes sg indic - 3p;Ь
26501;;какие-то;КАКОЙ-ТО;APRO - nom pl plen - -;;;автоответчик всё-таки даёт _какие-то_ подсказки , но;о;т;-;е;и;к;APRO;КАКОЙ-ТО;A - nom pl plen - -;О
26502;;подсказки;ПОДСКАЗКА;S f inan acc pl;;;всё-таки даёт какие-то _подсказки_ , но к;и;к;з;а;к;с;S;ПОДСКАЗКА;S f inan nom pl;А
26503;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26504;;но;НО;CONJ;;;какие-то подсказки , _но_ к ним не;о;н;;;;;CONJ;НО;CONJ;О
26505;;к;К;PR;;;подсказки , но _к_ ним не сразу;к;;;;;;PR;К;PR;К
26506;;ним;ОНИ;SPRO pl - - dat;;;, но к _ним_ не сразу прислушиваешься;м;и;н;;;;SPRO;ОНИ;SPRO pl - - dat;И
26507;;не;НЕ;PART;;;но к ним _не_ сразу прислушиваешься .;е;н;;;;;PART;НЕ;PART;Е
26508;;сразу;СРАЗУ;ADV -;;;к ним не _сразу_ прислушиваешься .;у;з;а;р;с;;ADV;СРАЗУ;ADV -;У
26509;;прислушиваешься;ПРИСЛУШИВАТЬСЯ;V ipf praes sg indic - 2p;;;ним не сразу _прислушиваешься_ .;я;с;ь;ш;е;а;V;ПРИСЛУШИВАТЬСЯ;V ipf praes sg indic - 2p;Я
26510;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26511;;;;;;;;;;;;;;;;;
26512;# sent = 1968;;;;;;;;;;;;;;;;
26513;;В;В;PR;;;. _В_ общем , как;в;;;;;;PR;В;PR;В
26514;;общем;ОБЩИЙ;A - loc sg plen m -;;;В _общем_ , как оказалось;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
26515;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26516;;как;КАК;CONJ;;;В общем , _как_ оказалось , ну;к;а;к;;;;CONJ;КАК;CONJ;К
26517;;оказалось;ОКАЗАТЬСЯ;V pf praet sg indic n -;;;общем , как _оказалось_ , ну ,;ь;с;о;л;а;з;V;ОКАЗАТЬСЯ;V pf praet sg indic n -;Я
26518;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26519;;ну;НУ;PART;;;как оказалось , _ну_ , мы начали;у;н;;;;;PART;НУ;PART;У
26520;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26521;;мы;МЫ;SPRO pl 1p - nom;;;, ну , _мы_ начали от безысходности;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
26522;;начали;НАЧАТЬ;V pf praet pl indic - -;;;ну , мы _начали_ от безысходности ,;и;л;а;ч;а;н;V;НАЧАТЬ;V pf praet pl indic - -;Ь
26523;;от;ОТ;PR;;;, мы начали _от_ безысходности , потому что;т;о;;;;;PR;ОТ;PR;Т
26524;;безысходности;БЕЗЫСХОДНОСТЬ;S f inan gen sg;;;мы начали от _безысходности_ , потому что ты;и;т;с;о;н;д;S;БЕЗЫСХОДНОСТЬ;S f inan gen sg;Ь
26525;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26526;;потому что;потому что;CONJ;;;от безысходности , _потому что_ ты не понимаешь;о;т;ч;;у;м;CONJ;потому что;CONJ;о
26527;;ты;ТЫ;SPRO sg 2p - nom;;;безысходности , потому что _ты_ не понимаешь ,;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
26528;;не;НЕ;PART;;;, потому что ты _не_ понимаешь , что;е;н;;;;;PART;НЕ;PART;Е
26529;;понимаешь;ПОНИМАТЬ;V ipf praes sg indic - 2p;;;потому что ты не _понимаешь_ , что нужно;ь;ш;е;а;м;и;V;ПОНИМАТЬ;V ipf praes sg indic - 2p;Ь
26530;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26531;;что;ЧТО;CONJ;;;не понимаешь , _что_ нужно делать ,;о;т;ч;;;;CONJ;ЧТО;CONJ;О
26532;;нужно;НУЖНО;PRAEDIC;;;понимаешь , что _нужно_ делать , аа;о;н;ж;у;н;;PRAEDIC;НУЖНО;ADV -;О
26533;;делать;ДЕЛАТЬ;V ipf - - inf - -;;;, что нужно _делать_ , аа ,;ь;т;а;л;е;д;V;ДЕЛАТЬ;V ipf - - inf - -;Ь
26534;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26535;;аа;АА;NONLEX;;;нужно делать , _аа_ , искать что-то;а;а;;;;;INTJ;АА;NONLEX;А
26536;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26537;;искать;ИСКАТЬ;V ipf - - inf - -;;;, аа , _искать_ что-то , рыскать;ь;т;а;к;с;и;V;ИСКАТЬ;V ipf - - inf - -;Ь
26538;;что-то;ЧТО-ТО;SPRO n inan acc sg;;;аа , искать _что-то_ , рыскать по;о;т;-;о;т;ч;SPRO;ЧТО-ТО;S n - acc sg;О
26539;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26540;;рыскать;РЫСКАТЬ;V ipf - - inf - -;;;искать что-то , _рыскать_ по вещам ,;ь;т;а;к;с;ы;V;РЫСКАТЬ;V ipf - - inf - -;Ь
26541;;по;ПО;PR;;;что-то , рыскать _по_ вещам , по;о;п;;;;;PR;ПО;PR;О
26542;;вещам;ВЕЩЬ;S f inan dat pl;;;, рыскать по _вещам_ , по шкафам;м;а;щ;е;в;;S;ВЕЩЬ;S f inan dat pl;Ь
26543;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26544;;по;ПО;PR;;;по вещам , _по_ шкафам , по;о;п;;;;;PR;ПО;PR;О
26545;;шкафам;ШКАФ;S m inan dat pl;;;вещам , по _шкафам_ , по сумочкам;м;а;ф;а;к;ш;S;ШКАФ;S m inan dat pl;Ф
26546;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26547;;по;ПО;PR;;;по шкафам , _по_ сумочкам , по;о;п;;;;;PR;ПО;PR;О
26548;;сумочкам;СУМОЧКА;S f inan dat pl;;;шкафам , по _сумочкам_ , по халатам;м;а;к;ч;о;м;S;СУМОЧКА;S f inan dat pl;А
26549;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26550;;по;ПО;PR;;;по сумочкам , _по_ халатам ,;о;п;;;;;PR;ПО;PR;О
26551;;халатам;ХАЛАТ;S m inan dat pl;;;сумочкам , по _халатам_ , усмехается;м;а;т;а;л;а;S;ХАЛАТ;S m inan dat pl;Т
26552;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26553;"<span class=""note"">";;;;;;;;;;;;;;;;
26554;<note>;усмехается;;;;;;;;;;;;;;;
26555;</span>;;;;;;;;;;;;;;;;
26556;;и;И;CONJ;;;усмехается _и_ в итоге мы;и;;;;;;CONJ;И;CONJ;И
26557;;в;В;PR;;;усмехается и _в_ итоге мы нашли;в;;;;;;PR;В;PR;В
26558;;итоге;ИТОГ;S m inan loc sg;;;и в _итоге_ мы нашли ключ;е;г;о;т;и;;S;ИТОГ;S m inan loc sg;Г
26559;;мы;МЫ;SPRO pl 1p - nom;;;и в итоге _мы_ нашли ключ !;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
26560;;нашли;НАЙТИ;V pf - pl indic - -;;;в итоге мы _нашли_ ключ !;и;л;ш;а;н;;V;НАСЛАТЬ;V pf - sg imper - 2p;Ь
26561;;ключ;КЛЮЧ;S m inan acc sg;;;итоге мы нашли _ключ_ !;ч;ю;л;к;;;S;КЛЮЧ;S m inan acc sg;Ч
26562;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
26563;;;;;;;;;;;;;;;;;
26564;# sent = 1969;;;;;;;;;;;;;;;;
26565;;Ключ;КЛЮЧ;S m inan nom sg;;;! _Ключ_ открывает дверь в;ч;ю;л;к;;;S;КЛЮЧ;S m inan nom sg;Ч
26566;;открывает;ОТКРЫВАТЬ;V ipf praes sg indic - 3p;;;Ключ _открывает_ дверь в кабинет;т;е;а;в;ы;р;V;ОТКРЫВАТЬ;V ipf praes sg indic - 3p;Ь
26567;;дверь;ДВЕРЬ;S f inan acc sg;;;Ключ открывает _дверь_ в кабинет самого;ь;р;е;в;д;;S;ДВЕРЬ;S f inan acc sg;Ь
26568;;в;В;PR;;;Ключ открывает дверь _в_ кабинет самого профессора;в;;;;;;PR;В;PR;В
26569;;кабинет;КАБИНЕТ;S m inan acc sg;;;открывает дверь в _кабинет_ самого профессора ,;т;е;н;и;б;а;S;КАБИНЕТ;S m inan acc sg;Т
26570;;самого;САМ;A - gen sg m -;;;дверь в кабинет _самого_ профессора , ааа;о;г;о;м;а;с;A;САМЫЙ;A - gen sg plen m -;Й
26571;;профессора;ПРОФЕССОР;S m anim gen sg;;;в кабинет самого _профессора_ , ааа ,;а;р;о;с;с;е;S;ПРОФЕССОР;S m anim gen sg;Р
26572;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26573;;ааа;ААА;NONLEX;;;самого профессора , _ааа_ , ты открываешь;а;а;а;;;;INTJ;ААА;S m inan nonflex -;А
26574;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26575;;ты;ТЫ;SPRO sg 2p - nom;;;, ааа , _ты_ открываешь дверь ,;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
26576;;открываешь;ОТКРЫВАТЬ;V ipf praes sg indic - 2p;;;ааа , ты _открываешь_ дверь , заходит;ь;ш;е;а;в;ы;V;ОТКРЫВАТЬ;V ipf praes sg indic - 2p;Ь
26577;;дверь;ДВЕРЬ;S f inan acc sg;;;, ты открываешь _дверь_ , заходит вся;ь;р;е;в;д;;S;ДВЕРЬ;S f inan acc sg;Ь
26578;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26579;;заходит;ЗАХОДИТЬ;V ipf praes sg indic - 3p;;;открываешь дверь , _заходит_ вся команда ,;т;и;д;о;х;а;V;ЗАХОДИТЬ;V ipf praes sg indic - 3p;Ь
26580;;вся;ВЕСЬ;APRO - nom sg plen f -;;;дверь , заходит _вся_ команда , и;я;с;в;;;;APRO;ВЕСЬ;A - nom sg plen f -;Ь
26581;;команда;КОМАНДА;S f inan nom sg;;;, заходит вся _команда_ , и там;а;д;н;а;м;о;S;КОМАНДА;S f inan nom sg;А
26582;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26583;;и;И;CONJ;;;вся команда , _и_ там стоит сейф;и;;;;;;CONJ;И;CONJ;И
26584;;там;ТАМ;ADV -;;;команда , и _там_ стоит сейф ,;м;а;т;;;;ADV;ТАМ;ADV -;М
26585;;стоит;СТОЯТЬ;V ipf praes sg indic - 3p;;;, и там _стоит_ сейф , скелеты;т;и;о;т;с;;V;СТОЯТЬ;V ipf praes sg indic - 3p;Ь
26586;;сейф;СЕЙФ;S m inan nom sg;;;и там стоит _сейф_ , скелеты ,;ф;й;е;с;;;S;СЕЙФ;S m inan acc sg;Ф
26587;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26588;;скелеты;СКЕЛЕТ;S m inan nom pl;;;стоит сейф , _скелеты_ , всякие исследования;ы;т;е;л;е;к;S;СКЕЛЕТ;S m inan nom pl;Т
26589;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26590;;всякие;ВСЯКИЙ;A - nom pl plen - -;;;, скелеты , _всякие_ исследования , кабинет;е;и;к;я;с;в;A;ВСЯКИЙ;A - nom pl plen - -;Й
26591;;исследования;ИССЛЕДОВАНИЕ;S n inan nom pl;;;скелеты , всякие _исследования_ , кабинет профессора;я;и;н;а;в;о;S;ИССЛЕДОВАНИЕ;S n inan nom pl;Е
26592;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26593;;кабинет;КАБИНЕТ;S m inan nom sg;;;всякие исследования , _кабинет_ профессора , в;т;е;н;и;б;а;S;КАБИНЕТ;S m inan nom sg;Т
26594;;профессора;ПРОФЕССОР;S m anim gen sg;;;исследования , кабинет _профессора_ , в общем;а;р;о;с;с;е;S;ПРОФЕССОР;S m anim gen sg;Р
26595;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26596;;в;В;PR;;;кабинет профессора , _в_ общем .;в;;;;;;PR;В;PR;В
26597;;общем;ОБЩИЙ;A - loc sg plen m -;;;профессора , в _общем_ .;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
26598;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26599;;;;;;;;;;;;;;;;;
26600;# sent = 1970;;;;;;;;;;;;;;;;
26601;;На;НА;PR;;;. _На_ столе у профессора;а;н;;;;;PR;НА;PR;А
26602;;столе;СТОЛ;S m inan loc2 sg;;;На _столе_ у профессора ,;е;л;о;т;с;;S;СТОЛ;S m inan loc sg;Л
26603;;у;У;PR;;;На столе _у_ профессора , ммм;у;;;;;;PR;У;PR;У
26604;;профессора;ПРОФЕССОР;S m anim gen sg;;;На столе у _профессора_ , ммм ,;а;р;о;с;с;е;S;ПРОФЕССОР;S m anim gen sg;Р
26605;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26606;;ммм;МММ;NONLEX;;;у профессора , _ммм_ , досье всех;м;м;м;;;;S;МММ;S n inan loc sg;М
26607;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26608;;досье;ДОСЬЕ;S n inan nom sg;;;, ммм , _досье_ всех этих убийц;е;ь;с;о;д;;S;ДОСЬЕ;S n inan nonflex -;Е
26609;;всех;ВЕСЬ;APRO - gen pl plen - -;;;ммм , досье _всех_ этих убийц ,;х;е;с;в;;;APRO;ВЕСЬ;A - gen pl plen - -;Ь
26610;;этих;ЭТОТ;APRO - gen pl plen - -;;;, досье всех _этих_ убийц , это;х;и;т;э;;;APRO;ЭТОТ;A - gen pl plen - -;Т
26611;;убийц;УБИЙЦА;S m-f anim gen pl;;;досье всех этих _убийц_ , это всё;ц;й;и;б;у;;S;УБИЙЦА;S - anim gen pl;А
26612;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26613;;это;ЭТО;SPRO n - nom sg;;;этих убийц , _это_ всё в крови;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
26614;;всё;ВСЕ;SPRO n - nom sg;;;убийц , это _всё_ в крови ,;ё;с;в;;;;ADV;ВСЕ;ADV -;Е
26615;;в;В;PR;;;, это всё _в_ крови , плюс;в;;;;;;PR;В;PR;В
26616;;крови;КРОВЬ;S f inan loc2 sg;;;это всё в _крови_ , плюс ко;и;в;о;р;к;;S;КРОВЬ;S f inan loc2 sg;Ь
26617;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26618;;плюс;ПЛЮС;CONJ;;;в крови , _плюс_ ко всему приглушённый;с;ю;л;п;;;CONJ;ПЛЮС;CONJ;С
26619;;ко;КО;PR;;;крови , плюс _ко_ всему приглушённый красный;о;к;;;;;PR;КО;PR;О
26620;;всему;ВСЕ;SPRO n - dat sg;;;, плюс ко _всему_ приглушённый красный свет;у;м;е;с;в;;S;ВСЕ;S n - dat sg;Е
26621;;приглушённый;ПРИГЛУШЕННЫЙ;A - nom sg plen m inan;;;плюс ко всему _приглушённый_ красный свет и;й;ы;н;н;ё;ш;A;ПРИГЛУШЕННЫЙ;A - acc sg plen m inan;Й
26622;;красный;КРАСНЫЙ;A - nom sg plen m inan;;;ко всему приглушённый _красный_ свет и музыка;й;ы;н;с;а;р;A;КРАСНЫЙ;A - acc sg plen m inan;Й
26623;;свет;СВЕТ;S m inan nom sg;;;всему приглушённый красный _свет_ и музыка ,;т;е;в;с;;;S;СВЕТ;S m inan acc sg;Т
26624;;и;И;CONJ;;;приглушённый красный свет _и_ музыка , как;и;;;;;;CONJ;И;CONJ;И
26625;;музыка;МУЗЫКА;S f inan nom sg;;;красный свет и _музыка_ , как из;а;к;ы;з;у;м;S;МУЗЫКА;S f inan nom sg;А
26626;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26627;;как;КАК;CONJ;;;и музыка , _как_ из детектива ,;к;а;к;;;;CONJ;КАК;CONJ;К
26628;;из;ИЗ;PR;;;музыка , как _из_ детектива , и;з;и;;;;;PR;ИЗ;PR;З
