0;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
26443;;¬;¬;PR;;;_¬_ общем , нас;в;;;;;;PR;¬;PR;¬
26444;;общем;ќЅў»…;A - loc sg plen m -;;;¬ _общем_ , нас всех;м;е;щ;б;о;;A;ќЅў»…;A - loc sg plen m -;…
26445;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26446;;нас;ћџ;SPRO pl 1p - acc;;;¬ общем , _нас_ всех запускает ,;с;а;н;;;;SPRO;ћџ;SPRO pl 1p - loc;џ
26447;;всех;¬—≈;S - - acc pl;;;общем , нас _всех_ запускает , аа;х;е;с;в;;;S;¬—≈;S - - loc pl;≈
26448;;запускает;«јѕ”— ј“№;V ipf praes sg indic - 3p;;;, нас всех _запускает_ , аа ,;т;е;а;к;с;у;V;«јѕ”— ј“№;V ipf praes sg indic - 3p;№
26449;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26450;;аа;јј;NONLEX;;;всех запускает , _аа_ , сначала в;а;а;;;;;INTJ;јј;NONLEX;ј
26451;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26452;;сначала;—Ќј„јЋј;ADV -;;;, аа , _сначала_ в приЄмную Е;а;л;а;ч;а;н;ADV;—Ќј„јЋј;ADV -;ј
26453;;в;¬;PR;;;аа , сначала _в_ приЄмную Е аа;в;;;;;;PR;¬;PR;¬
26454;;приЄмную;ѕ–»≈ћЌјя;S f inan sg acc;;;, сначала в _приЄмную_ Е аа Е;ю;у;н;м;Є;и;A;ѕ–»≈ћЌџ…;A - acc sg plen f -;…
26455;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
26456;;аа;јј;NONLEX;;;в приЄмную Е _аа_ Е при Е;а;а;;;;;INTJ;јј;NONLEX;ј
26457;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
26458;;при;ѕ–»;NONLEX;—литно;;Е аа Е _при_ Е секретарь Ћэнгдона;и;р;п;;;;PR;ѕ–»;PR;»
26459;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
26460;;секретарь;—≈ –≈“ј–№;S m anim nom sg;;;Е при Е _секретарь_ Ћэнгдона .;ь;р;а;т;е;р;S;—≈ –≈“ј–№;S m anim nom sg;№
26461;;Ћэнгдона;ЋЁЌ√ƒќЌ;S famn m anim gen sg;;;при Е секретарь _Ћэнгдона_ .;а;н;о;д;г;н;S;ЋЁЌ√ƒќЌ;S m anim nom sg;Ќ
26462;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26463;;;;;;;;;;;;;;;;;
26464;# sent = 1966;;;;;;;;;;;;;;;;
26465;;“ам;“јћ;ADV -;;;. _“ам_ , естественно ,;м;а;т;;;;ADV;“јћ;ADV -;ћ
26466;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26467;;естественно;≈—“≈—“¬≈ЌЌќ;PARENTH;;;“ам , _естественно_ , пусто ,;о;н;н;е;в;т;ADV;≈—“≈—“¬≈ЌЌќ;ADV -;ќ
26468;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26469;;пусто;ѕ”—“ќ;ADV -;;;, естественно , _пусто_ , есть только;о;т;с;у;п;;ADV;ѕ”—“ќ;ADV -;ќ
26470;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26471;;есть;Ѕџ“№;V ipf praes - indic --;;;, пусто , _есть_ только антураж ,;ь;т;с;е;;;V;Ѕџ“№;V ipf praes sg indic - 3p;№
26472;;только;“ќЋ№ ќ;PART;;;пусто , есть _только_ антураж , мебель;о;к;ь;л;о;т;PART;“ќЋ№ ќ;PART;ќ
26473;;антураж;јЌ“”–ј∆;S m inan nom sg;;;, есть только _антураж_ , мебель ,;ж;а;р;у;т;н;S;јЌ“”–ј∆;S m inan nom sg;∆
26474;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26475;;мебель;ћ≈Ѕ≈Ћ№;S f inan nom sg;;;только антураж , _мебель_ , и там;ь;л;е;б;е;м;S;ћ≈Ѕ≈Ћ№;S f inan nom sg;№
26476;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26477;;и;»;CONJ;;;, мебель , _и_ там иногда автоответчик;и;;;;;;CONJ;»;CONJ;»
26478;;там;“јћ;ADV -;;;мебель , и _там_ иногда автоответчик говорит;м;а;т;;;;ADV;“јћ;ADV -;ћ
26479;;иногда;»Ќќ√ƒј;ADV -;;;, и там _иногда_ автоответчик говорит какие-то;а;д;г;о;н;и;ADV;»Ќќ√ƒј;ADV -;ј
26480;;автоответчик;ј¬“ќќ“¬≈“„» ;S m inan nom sg;;;и там иногда _автоответчик_ говорит какие-то ненужные;к;и;ч;т;е;в;S;ј¬“ќќ“¬≈“„» ;S m inan acc sg; 
26481;;говорит;√ќ¬ќ–»“№;V ipf praes sg indic - 3p;;;там иногда автоответчик _говорит_ какие-то ненужные ,;т;и;р;о;в;о;V;√ќ¬ќ–»“№;V ipf praes sg indic - 3p;№
26482;;какие-то; ј ќ…-“ќ;APRO - nom pl plen - -;;;иногда автоответчик говорит _какие-то_ ненужные , как;о;т;-;е;и;к;APRO; ј ќ…-“ќ;A - nom pl plen - -;ќ
26483;;ненужные;Ќ≈Ќ”∆Ќџ…;A - nom pl plen - -;;;автоответчик говорит какие-то _ненужные_ , как нам;е;ы;н;ж;у;н;A;Ќ≈Ќ”∆Ќџ…;A - nom pl plen - -;…
26484;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26485;;как; ј ;CONJ;;;какие-то ненужные , _как_ нам казалось ,;к;а;к;;;;CONJ; ј ;CONJ; 
26486;;нам;ћџ;SPRO pl 1p - dat;;;ненужные , как _нам_ казалось , вещи;м;а;н;;;;SPRO;ћџ;SPRO pl 1p - dat;џ
26487;;казалось; ј«ј“№—я;V ipf praet sg indic n -;;;, как нам _казалось_ , вещи .;ь;с;о;л;а;з;V; ј«ј“№—я;V ipf praet sg indic n -;я
26488;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26489;;вещи;¬≈ў№;S f inan acc pl;;;нам казалось , _вещи_ .;и;щ;е;в;;;S;¬≈ў№;S f inan nom pl;№
26490;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26491;;;;;;;;;;;;;;;;;
26492;# sent = 1967;;;;;;;;;;;;;;;;
26493;;ѕотом;ѕќ“ќћ;ADV -;;;. _ѕотом_ оказалось , что;м;о;т;о;п;;ADV;ѕќ“ќћ;ADV -;ћ
26494;;оказалось;ќ ј«ј“№—я;V pf praet sg indic n -;;;ѕотом _оказалось_ , что этот;ь;с;о;л;а;з;V;ќ ј«ј“№—я;V pf praet sg indic n -;я
26495;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26496;;что;„“ќ;CONJ;;;ѕотом оказалось , _что_ этот автоответчик всЄ-таки;о;т;ч;;;;CONJ;„“ќ;CONJ;ќ
26497;;этот;Ё“ќ“;APRO - nom sg plen m -;;;оказалось , что _этот_ автоответчик всЄ-таки даЄт;т;о;т;э;;;APRO;Ё“ќ“;A - nom sg plen m -;“
26498;;автоответчик;ј¬“ќќ“¬≈“„» ;S m inan nom sg;;;, что этот _автоответчик_ всЄ-таки даЄт какие-то;к;и;ч;т;е;в;S;ј¬“ќќ“¬≈“„» ;S m inan nom sg; 
26499;;всЄ-таки;¬—≈-“ј »;PART;;;что этот автоответчик _всЄ-таки_ даЄт какие-то подсказки;и;к;а;т;-;Є;PART;¬—≈-“ј »;PART;»
26500;;даЄт;ƒј¬ј“№;V ipf praes sg indic - 3p;;;этот автоответчик всЄ-таки _даЄт_ какие-то подсказки ,;т;Є;а;д;;;V;ƒј¬ј“№;V ipf praes sg indic - 3p;№
26501;;какие-то; ј ќ…-“ќ;APRO - nom pl plen - -;;;автоответчик всЄ-таки даЄт _какие-то_ подсказки , но;о;т;-;е;и;к;APRO; ј ќ…-“ќ;A - nom pl plen - -;ќ
26502;;подсказки;ѕќƒ— ј« ј;S f inan acc pl;;;всЄ-таки даЄт какие-то _подсказки_ , но к;и;к;з;а;к;с;S;ѕќƒ— ј« ј;S f inan nom pl;ј
26503;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26504;;но;Ќќ;CONJ;;;какие-то подсказки , _но_ к ним не;о;н;;;;;CONJ;Ќќ;CONJ;ќ
26505;;к; ;PR;;;подсказки , но _к_ ним не сразу;к;;;;;;PR; ;PR; 
26506;;ним;ќЌ»;SPRO pl - - dat;;;, но к _ним_ не сразу прислушиваешьс€;м;и;н;;;;SPRO;ќЌ»;SPRO pl - - dat;»
26507;;не;Ќ≈;PART;;;но к ним _не_ сразу прислушиваешьс€ .;е;н;;;;;PART;Ќ≈;PART;≈
26508;;сразу;—–ј«”;ADV -;;;к ним не _сразу_ прислушиваешьс€ .;у;з;а;р;с;;ADV;—–ј«”;ADV -;”
26509;;прислушиваешьс€;ѕ–»—Ћ”Ў»¬ј“№—я;V ipf praes sg indic - 2p;;;ним не сразу _прислушиваешьс€_ .;€;с;ь;ш;е;а;V;ѕ–»—Ћ”Ў»¬ј“№—я;V ipf praes sg indic - 2p;я
26510;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26511;;;;;;;;;;;;;;;;;
26512;# sent = 1968;;;;;;;;;;;;;;;;
26513;;¬;¬;PR;;;. _¬_ общем , как;в;;;;;;PR;¬;PR;¬
26514;;общем;ќЅў»…;A - loc sg plen m -;;;¬ _общем_ , как оказалось;м;е;щ;б;о;;A;ќЅў»…;A - loc sg plen m -;…
26515;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26516;;как; ј ;CONJ;;;¬ общем , _как_ оказалось , ну;к;а;к;;;;CONJ; ј ;CONJ; 
26517;;оказалось;ќ ј«ј“№—я;V pf praet sg indic n -;;;общем , как _оказалось_ , ну ,;ь;с;о;л;а;з;V;ќ ј«ј“№—я;V pf praet sg indic n -;я
26518;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26519;;ну;Ќ”;PART;;;как оказалось , _ну_ , мы начали;у;н;;;;;PART;Ќ”;PART;”
26520;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26521;;мы;ћџ;SPRO pl 1p - nom;;;, ну , _мы_ начали от безысходности;ы;м;;;;;SPRO;ћџ;SPRO pl 1p - nom;џ
26522;;начали;Ќј„ј“№;V pf praet pl indic - -;;;ну , мы _начали_ от безысходности ,;и;л;а;ч;а;н;V;Ќј„ј“№;V pf praet pl indic - -;№
26523;;от;ќ“;PR;;;, мы начали _от_ безысходности , потому что;т;о;;;;;PR;ќ“;PR;“
26524;;безысходности;Ѕ≈«џ—’ќƒЌќ—“№;S f inan gen sg;;;мы начали от _безысходности_ , потому что ты;и;т;с;о;н;д;S;Ѕ≈«џ—’ќƒЌќ—“№;S f inan gen sg;№
26525;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26526;;потому что;потому что;CONJ;;;от безысходности , _потому что_ ты не понимаешь;о;т;ч;;у;м;CONJ;потому что;CONJ;о
26527;;ты;“џ;SPRO sg 2p - nom;;;безысходности , потому что _ты_ не понимаешь ,;ы;т;;;;;SPRO;“џ;SPRO sg 2p - nom;џ
26528;;не;Ќ≈;PART;;;, потому что ты _не_ понимаешь , что;е;н;;;;;PART;Ќ≈;PART;≈
26529;;понимаешь;ѕќЌ»ћј“№;V ipf praes sg indic - 2p;;;потому что ты не _понимаешь_ , что нужно;ь;ш;е;а;м;и;V;ѕќЌ»ћј“№;V ipf praes sg indic - 2p;№
26530;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26531;;что;„“ќ;CONJ;;;не понимаешь , _что_ нужно делать ,;о;т;ч;;;;CONJ;„“ќ;CONJ;ќ
26532;;нужно;Ќ”∆Ќќ;PRAEDIC;;;понимаешь , что _нужно_ делать , аа;о;н;ж;у;н;;PRAEDIC;Ќ”∆Ќќ;ADV -;ќ
26533;;делать;ƒ≈Ћј“№;V ipf - - inf - -;;;, что нужно _делать_ , аа ,;ь;т;а;л;е;д;V;ƒ≈Ћј“№;V ipf - - inf - -;№
26534;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26535;;аа;јј;NONLEX;;;нужно делать , _аа_ , искать что-то;а;а;;;;;INTJ;јј;NONLEX;ј
26536;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26537;;искать;»— ј“№;V ipf - - inf - -;;;, аа , _искать_ что-то , рыскать;ь;т;а;к;с;и;V;»— ј“№;V ipf - - inf - -;№
26538;;что-то;„“ќ-“ќ;SPRO n inan acc sg;;;аа , искать _что-то_ , рыскать по;о;т;-;о;т;ч;SPRO;„“ќ-“ќ;S n - acc sg;ќ
26539;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26540;;рыскать;–џ— ј“№;V ipf - - inf - -;;;искать что-то , _рыскать_ по вещам ,;ь;т;а;к;с;ы;V;–џ— ј“№;V ipf - - inf - -;№
26541;;по;ѕќ;PR;;;что-то , рыскать _по_ вещам , по;о;п;;;;;PR;ѕќ;PR;ќ
26542;;вещам;¬≈ў№;S f inan dat pl;;;, рыскать по _вещам_ , по шкафам;м;а;щ;е;в;;S;¬≈ў№;S f inan dat pl;№
26543;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26544;;по;ѕќ;PR;;;по вещам , _по_ шкафам , по;о;п;;;;;PR;ѕќ;PR;ќ
26545;;шкафам;Ў ј‘;S m inan dat pl;;;вещам , по _шкафам_ , по сумочкам;м;а;ф;а;к;ш;S;Ў ј‘;S m inan dat pl;‘
26546;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26547;;по;ѕќ;PR;;;по шкафам , _по_ сумочкам , по;о;п;;;;;PR;ѕќ;PR;ќ
26548;;сумочкам;—”ћќ„ ј;S f inan dat pl;;;шкафам , по _сумочкам_ , по халатам;м;а;к;ч;о;м;S;—”ћќ„ ј;S f inan dat pl;ј
26549;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26550;;по;ѕќ;PR;;;по сумочкам , _по_ халатам ,;о;п;;;;;PR;ѕќ;PR;ќ
26551;;халатам;’јЋј“;S m inan dat pl;;;сумочкам , по _халатам_ , усмехаетс€;м;а;т;а;л;а;S;’јЋј“;S m inan dat pl;“
26552;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26553;"<span class=""note"">";;;;;;;;;;;;;;;;
26554;<note>;усмехаетс€;;;;;;;;;;;;;;;
26555;</span>;;;;;;;;;;;;;;;;
26556;;и;»;CONJ;;;усмехаетс€ _и_ в итоге мы;и;;;;;;CONJ;»;CONJ;»
26557;;в;¬;PR;;;усмехаетс€ и _в_ итоге мы нашли;в;;;;;;PR;¬;PR;¬
26558;;итоге;»“ќ√;S m inan loc sg;;;и в _итоге_ мы нашли ключ;е;г;о;т;и;;S;»“ќ√;S m inan loc sg;√
26559;;мы;ћџ;SPRO pl 1p - nom;;;и в итоге _мы_ нашли ключ !;ы;м;;;;;SPRO;ћџ;SPRO pl 1p - nom;џ
26560;;нашли;Ќј…“»;V pf - pl indic - -;;;в итоге мы _нашли_ ключ !;и;л;ш;а;н;;V;Ќј—Ћј“№;V pf - sg imper - 2p;№
26561;;ключ; Ћё„;S m inan acc sg;;;итоге мы нашли _ключ_ !;ч;ю;л;к;;;S; Ћё„;S m inan acc sg;„
26562;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
26563;;;;;;;;;;;;;;;;;
26564;# sent = 1969;;;;;;;;;;;;;;;;
26565;; люч; Ћё„;S m inan nom sg;;;! _ люч_ открывает дверь в;ч;ю;л;к;;;S; Ћё„;S m inan nom sg;„
26566;;открывает;ќ“ –џ¬ј“№;V ipf praes sg indic - 3p;;; люч _открывает_ дверь в кабинет;т;е;а;в;ы;р;V;ќ“ –џ¬ј“№;V ipf praes sg indic - 3p;№
26567;;дверь;ƒ¬≈–№;S f inan acc sg;;; люч открывает _дверь_ в кабинет самого;ь;р;е;в;д;;S;ƒ¬≈–№;S f inan acc sg;№
26568;;в;¬;PR;;; люч открывает дверь _в_ кабинет самого профессора;в;;;;;;PR;¬;PR;¬
26569;;кабинет; јЅ»Ќ≈“;S m inan acc sg;;;открывает дверь в _кабинет_ самого профессора ,;т;е;н;и;б;а;S; јЅ»Ќ≈“;S m inan acc sg;“
26570;;самого;—јћ;A - gen sg m -;;;дверь в кабинет _самого_ профессора , ааа;о;г;о;м;а;с;A;—јћџ…;A - gen sg plen m -;…
26571;;профессора;ѕ–ќ‘≈——ќ–;S m anim gen sg;;;в кабинет самого _профессора_ , ааа ,;а;р;о;с;с;е;S;ѕ–ќ‘≈——ќ–;S m anim gen sg;–
26572;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26573;;ааа;јјј;NONLEX;;;самого профессора , _ааа_ , ты открываешь;а;а;а;;;;INTJ;јјј;S m inan nonflex -;ј
26574;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26575;;ты;“џ;SPRO sg 2p - nom;;;, ааа , _ты_ открываешь дверь ,;ы;т;;;;;SPRO;“џ;SPRO sg 2p - nom;џ
26576;;открываешь;ќ“ –џ¬ј“№;V ipf praes sg indic - 2p;;;ааа , ты _открываешь_ дверь , заходит;ь;ш;е;а;в;ы;V;ќ“ –џ¬ј“№;V ipf praes sg indic - 2p;№
26577;;дверь;ƒ¬≈–№;S f inan acc sg;;;, ты открываешь _дверь_ , заходит вс€;ь;р;е;в;д;;S;ƒ¬≈–№;S f inan acc sg;№
26578;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26579;;заходит;«ј’ќƒ»“№;V ipf praes sg indic - 3p;;;открываешь дверь , _заходит_ вс€ команда ,;т;и;д;о;х;а;V;«ј’ќƒ»“№;V ipf praes sg indic - 3p;№
26580;;вс€;¬≈—№;APRO - nom sg plen f -;;;дверь , заходит _вс€_ команда , и;€;с;в;;;;APRO;¬≈—№;A - nom sg plen f -;№
26581;;команда; ќћјЌƒј;S f inan nom sg;;;, заходит вс€ _команда_ , и там;а;д;н;а;м;о;S; ќћјЌƒј;S f inan nom sg;ј
26582;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26583;;и;»;CONJ;;;вс€ команда , _и_ там стоит сейф;и;;;;;;CONJ;»;CONJ;»
26584;;там;“јћ;ADV -;;;команда , и _там_ стоит сейф ,;м;а;т;;;;ADV;“јћ;ADV -;ћ
26585;;стоит;—“ќя“№;V ipf praes sg indic - 3p;;;, и там _стоит_ сейф , скелеты;т;и;о;т;с;;V;—“ќя“№;V ipf praes sg indic - 3p;№
26586;;сейф;—≈…‘;S m inan nom sg;;;и там стоит _сейф_ , скелеты ,;ф;й;е;с;;;S;—≈…‘;S m inan acc sg;‘
26587;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26588;;скелеты;— ≈Ћ≈“;S m inan nom pl;;;стоит сейф , _скелеты_ , вс€кие исследовани€;ы;т;е;л;е;к;S;— ≈Ћ≈“;S m inan nom pl;“
26589;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26590;;вс€кие;¬—я »…;A - nom pl plen - -;;;, скелеты , _вс€кие_ исследовани€ , кабинет;е;и;к;€;с;в;A;¬—я »…;A - nom pl plen - -;…
26591;;исследовани€;»——Ћ≈ƒќ¬јЌ»≈;S n inan nom pl;;;скелеты , вс€кие _исследовани€_ , кабинет профессора;€;и;н;а;в;о;S;»——Ћ≈ƒќ¬јЌ»≈;S n inan nom pl;≈
26592;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26593;;кабинет; јЅ»Ќ≈“;S m inan nom sg;;;вс€кие исследовани€ , _кабинет_ профессора , в;т;е;н;и;б;а;S; јЅ»Ќ≈“;S m inan nom sg;“
26594;;профессора;ѕ–ќ‘≈——ќ–;S m anim gen sg;;;исследовани€ , кабинет _профессора_ , в общем;а;р;о;с;с;е;S;ѕ–ќ‘≈——ќ–;S m anim gen sg;–
26595;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26596;;в;¬;PR;;;кабинет профессора , _в_ общем .;в;;;;;;PR;¬;PR;¬
26597;;общем;ќЅў»…;A - loc sg plen m -;;;профессора , в _общем_ .;м;е;щ;б;о;;A;ќЅў»…;A - loc sg plen m -;…
26598;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26599;;;;;;;;;;;;;;;;;
26600;# sent = 1970;;;;;;;;;;;;;;;;
26601;;Ќа;Ќј;PR;;;. _Ќа_ столе у профессора;а;н;;;;;PR;Ќј;PR;ј
26602;;столе;—“ќЋ;S m inan loc2 sg;;;Ќа _столе_ у профессора ,;е;л;о;т;с;;S;—“ќЋ;S m inan loc sg;Ћ
26603;;у;”;PR;;;Ќа столе _у_ профессора , ммм;у;;;;;;PR;”;PR;”
26604;;профессора;ѕ–ќ‘≈——ќ–;S m anim gen sg;;;Ќа столе у _профессора_ , ммм ,;а;р;о;с;с;е;S;ѕ–ќ‘≈——ќ–;S m anim gen sg;–
26605;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26606;;ммм;ћћћ;NONLEX;;;у профессора , _ммм_ , досье всех;м;м;м;;;;S;ћћћ;S n inan loc sg;ћ
26607;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26608;;досье;ƒќ—№≈;S n inan nom sg;;;, ммм , _досье_ всех этих убийц;е;ь;с;о;д;;S;ƒќ—№≈;S n inan nonflex -;≈
26609;;всех;¬≈—№;APRO - gen pl plen - -;;;ммм , досье _всех_ этих убийц ,;х;е;с;в;;;APRO;¬≈—№;A - gen pl plen - -;№
26610;;этих;Ё“ќ“;APRO - gen pl plen - -;;;, досье всех _этих_ убийц , это;х;и;т;э;;;APRO;Ё“ќ“;A - gen pl plen - -;“
26611;;убийц;”Ѕ»…÷ј;S m-f anim gen pl;;;досье всех этих _убийц_ , это всЄ;ц;й;и;б;у;;S;”Ѕ»…÷ј;S - anim gen pl;ј
26612;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26613;;это;Ё“ќ;SPRO n - nom sg;;;этих убийц , _это_ всЄ в крови;о;т;э;;;;SPRO;Ё“ќ;S n - nom sg;ќ
26614;;всЄ;¬—≈;SPRO n - nom sg;;;убийц , это _всЄ_ в крови ,;Є;с;в;;;;ADV;¬—≈;ADV -;≈
26615;;в;¬;PR;;;, это всЄ _в_ крови , плюс;в;;;;;;PR;¬;PR;¬
26616;;крови; –ќ¬№;S f inan loc2 sg;;;это всЄ в _крови_ , плюс ко;и;в;о;р;к;;S; –ќ¬№;S f inan loc2 sg;№
26617;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26618;;плюс;ѕЋё—;CONJ;;;в крови , _плюс_ ко всему приглушЄнный;с;ю;л;п;;;CONJ;ѕЋё—;CONJ;—
26619;;ко; ќ;PR;;;крови , плюс _ко_ всему приглушЄнный красный;о;к;;;;;PR; ќ;PR;ќ
26620;;всему;¬—≈;SPRO n - dat sg;;;, плюс ко _всему_ приглушЄнный красный свет;у;м;е;с;в;;S;¬—≈;S n - dat sg;≈
